PetID,PetType,Breed,AgeMonths,Color,Size,WeightKg,Vaccinated,HealthCondition,TimeInShelterDays,AdoptionFee,PreviousOwner,AdoptionLikelihood
PET0341,Cat,Scottish Fold,93,Mixed,Small,33.32,0,1,163,200,0,0
PET0342,Cat,Scottish Fold,82,Gray,Small,34.65,1,0,99,75,1,0
PET0343,Dog,Chihuahua,95,Gray,Medium,30.86,1,0,113,75,1,1
PET0344,Dog,Rottweiler,94,Black,Large,4.97,1,0,359,200,1,0
PET0345,Dog,Bulldog,116,Mixed,Small,31.92,0,1,91,50,0,0
PET0346,Cat,Bengal,39,Mixed,Medium,36.79,0,0,346,150,0,0
PET0347,Cat,Sphynx,99,Brown,Small,24.22,1,1,206,0,0,0
PET0348,Dog,Labrador,18,Mixed,Medium,37.66,1,0,17,75,1,0
PET0349,Dog,Chihuahua,59,White,Small,33.16,0,1,274,25,0,0
PET0350,Cat,Abyssinian,106,Black,Small,26.85,1,0,173,100,1,1
PET0351,Cat,Abyssinian,103,Gray,Large,23.3,1,0,116,100,0,0
PET0352,Rabbit,Holland Lop,17,Mixed,Medium,14.27,1,0,349,100,0,0
PET0353,Cat,Persian,14,Black,Medium,6.79,1,1,181,75,0,0
PET0354,Dog,Labrador,31,Mixed,Medium,24.4,1,0,91,75,0,1
PET0355,Dog,Labrador,24,Gray,Small,13.07,0,0,82,0,0,1
PET0356,Cat,Abyssinian,99,Orange,Medium,34.72,1,0,324,50,0,0
PET0357,Dog,Chihuahua,108,Gray,Small,39.74,1,1,114,150,1,0
PET0358,Cat,Siamese,60,Gray,Medium,30.22,0,0,257,75,0,0
PET0359,Bird,Finch,45,Gray,Small,4.07,1,1,58,100,0,0
PET0360,Cat,Scottish Fold,98,Mixed,Medium,11.9,1,0,154,100,1,0
PET0361,Dog,Rottweiler,3,Brown,Large,4.81,1,0,116,75,1,0
PET0362,Cat,Maine Coon,37,Gray,Large,26.2,1,0,343,100,1,0
PET0363,Cat,Abyssinian,43,White,Medium,30.73,1,0,266,25,0,0
PET0364,Cat,Maine Coon,40,White,Small,37.06,1,0,315,25,1,0
PET0365,Bird,Parrot,90,Black,Medium,17.81,0,0,203,0,1,0
PET0366,Dog,Chihuahua,55,Brown,Large,36.1,1,0,41,75,0,1
PET0367,Bird,Parrot,87,Black,Small,35.18,0,0,105,75,0,0
PET0368,Rabbit,Dutch,108,White,Large,13.03,1,0,193,75,0,1
PET0369,Dog,Golden Retriever,39,White,Small,34.82,1,0,278,75,0,0
PET0370,Dog,Labrador,15,Orange,Large,15.34,1,0,354,75,1,0
PET0371,Dog,Golden Retriever,113,Gray,Large,12.23,1,0,237,100,0,1
PET0372,Dog,Chihuahua,4,White,Large,26.14,1,1,221,100,1,0
PET0373,Dog,Golden Retriever,93,Mixed,Small,13.47,1,1,68,0,0,1
PET0374,Cat,Bengal,86,Mixed,Small,25.39,1,0,197,50,0,1
PET0375,Dog,Beagle,25,Black,Medium,24.59,0,0,256,100,0,0
PET0376,Dog,Yorkshire Terrier,13,Black,Small,22.76,1,1,139,75,0,0
PET0377,Rabbit,Holland Lop,82,Gray,Small,15.53,1,0,312,100,1,0
PET0378,Dog,Poodle,33,Gray,Medium,22.17,1,0,149,50,1,1
PET0379,Rabbit,Mini Rex,16,Orange,Medium,24.06,0,0,99,75,0,1
PET0380,Dog,Chihuahua,109,Brown,Medium,22.05,0,0,76,50,0,1
PET0381,Dog,Labrador,42,Black,Medium,18.05,0,0,282,50,0,0
PET0382,Cat,Sphynx,108,Gray,Small,1.08,0,0,109,100,1,0
PET0383,Cat,Ragdoll,66,Black,Large,23.69,1,0,188,75,0,0
PET0384,Rabbit,Dutch,55,Gray,Small,7.15,1,1,199,100,0,0
PET0385,Cat,Siamese,99,White,Medium,25.88,1,0,303,150,1,0
PET0386,Rabbit,Flemish Giant,42,Black,Medium,30.49,0,0,327,75,1,0
PET0387,Dog,Dachshund,34,White,Large,20.27,0,1,154,100,0,0
PET0388,Dog,Labrador,30,Black,Small,21.92,0,0,40,50,0,1
PET0389,Cat,Sphynx,119,Brown,Medium,38.08,0,0,133,75,1,0
PET0390,Rabbit,Flemish Giant,13,Orange,Medium,33.96,0,0,132,100,1,0
PET0391,Bird,Canary,13,Mixed,Small,36.61,0,0,279,75,0,1
PET0392,Dog,Rottweiler,18,Mixed,Medium,32.64,1,1,362,75,1,0
PET0393,Dog,Golden Retriever,32,Mixed,Large,4.8,1,0,84,50,1,0
PET0394,Cat,Scottish Fold,96,White,Large,6.39,1,1,242,75,0,0
PET0395,Dog,Rottweiler,99,Gray,Small,21.3,1,0,116,150,0,0
PET0396,Bird,Finch,39,Mixed,Small,10.22,1,0,109,150,0,1
PET0397,Rabbit,Flemish Giant,46,Brown,Small,19.33,0,0,221,100,1,0
PET0398,Dog,Golden Retriever,116,Mixed,Medium,16.08,0,0,41,100,0,0
PET0399,Cat,Ragdoll,29,Black,Small,22.2,1,0,147,75,1,1
PET0400,Cat,Bengal,62,White,Small,30.0,0,0,112,75,1,0
PET0401,Dog,German Shepherd,113,Black,Large,28.76,1,0,103,25,0,1
PET0402,Rabbit,Mini Rex,93,Black,Large,21.09,1,0,46,75,1,0
PET0403,Cat,Abyssinian,62,Black,Small,32.98,1,1,324,75,1,1
PET0404,Rabbit,Mini Rex,117,Orange,Small,17.52,1,0,271,200,0,0
PET0405,Dog,Bulldog,108,Orange,Medium,35.92,1,0,195,75,0,0
PET0406,Rabbit,Lionhead,57,Gray,Small,3.32,0,1,280,75,0,0
PET0407,Dog,Golden Retriever,16,White,Medium,38.21,0,1,283,75,1,0
PET0408,Dog,Dachshund,56,Brown,Medium,26.36,1,0,40,100,1,0
PET0409,Rabbit,Mini Rex,108,Brown,Large,15.51,1,1,189,100,0,0
PET0410,Dog,Poodle,111,Brown,Medium,8.29,0,0,164,50,1,0
PET0411,Dog,Golden Retriever,10,Black,Medium,19.43,1,0,24,75,0,0
PET0412,Bird,Parrot,30,Orange,Medium,8.19,1,0,24,100,0,1
PET0413,Bird,Cockatiel,25,White,Small,7.07,1,1,4,75,0,1
PET0414,Cat,Scottish Fold,103,Black,Medium,24.89,1,0,323,50,0,0
PET0415,Cat,Sphynx,84,Orange,Medium,21.16,1,0,290,100,0,1
PET0416,Dog,Beagle,5,Orange,Small,26.97,1,0,181,100,0,0
PET0417,Dog,Rottweiler,65,Mixed,Small,37.22,1,1,248,25,0,0
PET0418,Dog,Chihuahua,94,Mixed,Small,21.52,0,1,116,100,1,0
PET0419,Cat,Abyssinian,49,White,Large,23.45,1,0,279,100,0,0
PET0420,Cat,Siamese,3,White,Small,4.04,0,1,69,75,0,0
PET0421,Cat,Sphynx,45,White,Small,28.85,1,0,351,200,0,0
PET0422,Cat,Maine Coon,14,Black,Medium,16.3,1,0,254,100,1,1
PET0423,Dog,Dachshund,30,Gray,Medium,39.08,1,0,181,100,0,0
PET0424,Cat,Bengal,114,White,Small,33.02,1,0,318,100,0,1
PET0425,Dog,Rottweiler,68,Mixed,Large,21.14,0,0,169,50,1,1
PET0426,Cat,Sphynx,18,Gray,Large,5.37,0,0,313,50,0,0
PET0427,Dog,German Shepherd,62,Black,Medium,34.45,1,0,249,75,0,0
PET0428,Rabbit,Holland Lop,37,Gray,Medium,32.09,1,1,188,50,1,0
PET0429,Dog,Labrador,25,Brown,Small,7.79,0,1,54,75,0,0
PET0430,Dog,Rottweiler,48,Gray,Small,12.16,1,1,326,150,0,0
PET0431,Dog,Golden Retriever,65,White,Large,31.84,1,1,357,100,0,1
PET0432,Cat,Scottish Fold,53,Black,Small,7.82,1,0,313,100,0,0
PET0433,Cat,Ragdoll,110,White,Small,36.75,0,0,138,150,0,0
PET0434,Dog,Poodle,79,Mixed,Medium,17.27,1,0,168,100,0,0
PET0435,Dog,Rottweiler,73,Brown,Small,3.94,1,0,103,75,0,0
PET0436,Cat,Bengal,15,Mixed,Large,32.72,1,0,85,50,0,0
PET0437,Dog,Rottweiler,49,White,Small,15.25,1,0,317,75,1,0
PET0438,Rabbit,Dutch,88,White,Large,21.3,1,0,212,100,0,1
PET0439,Cat,Persian,68,White,Medium,4.94,0,0,3,75,0,0
PET0440,Dog,Dachshund,12,Orange,Large,0.6,1,0,179,100,1,0
PET0441,Dog,Yorkshire Terrier,59,Brown,Small,25.7,1,0,342,25,1,0
PET0442,Bird,Parrot,37,White,Medium,20.85,0,0,303,100,0,0
PET0443,Dog,Rottweiler,61,White,Large,23.94,1,0,332,100,1,0
PET0444,Dog,Yorkshire Terrier,101,Mixed,Medium,31.85,0,0,38,100,0,0
PET0445,Rabbit,Mini Rex,43,Mixed,Medium,26.04,0,0,239,200,0,0
PET0446,Bird,Parakeet,70,White,Medium,7.4,1,1,169,100,1,0
PET0447,Bird,Finch,39,Black,Medium,14.75,1,0,343,150,0,1
PET0448,Cat,Bengal,56,Orange,Medium,36.28,1,0,314,150,0,1
PET0449,Dog,Dachshund,63,Mixed,Large,30.91,0,1,306,100,0,0
PET0450,Dog,Golden Retriever,46,Black,Small,22.49,1,0,30,100,0,0
PET0451,Cat,Sphynx,88,Orange,Medium,10.6,0,0,190,0,0,1
PET0452,Cat,Abyssinian,11,White,Large,12.43,1,0,357,75,1,0
PET0453,Dog,Yorkshire Terrier,62,Brown,Medium,29.41,1,0,25,75,0,1
PET0454,Rabbit,Holland Lop,77,Gray,Large,34.12,1,0,112,50,1,1
PET0455,Dog,Beagle,98,Gray,Large,27.02,1,0,206,50,0,0
PET0456,Cat,Abyssinian,25,White,Medium,32.48,1,1,185,200,1,1
PET0457,Dog,Bulldog,71,Mixed,Small,30.78,1,0,47,150,1,1
PET0458,Cat,Scottish Fold,52,Black,Small,6.41,1,0,228,100,1,1
PET0459,Dog,Poodle,4,Brown,Medium,17.25,1,0,39,75,0,0
PET0460,Dog,Yorkshire Terrier,59,Orange,Large,6.54,1,0,16,0,0,1
PET0461,Dog,Poodle,72,White,Small,9.79,0,0,22,25,0,0
PET0462,Cat,Persian,20,Brown,Small,34.84,0,0,213,50,1,0
PET0463,Cat,Siamese,93,Brown,Small,19.18,1,1,310,0,1,1
PET0464,Cat,Ragdoll,63,Mixed,Large,21.65,0,0,149,0,0,0
PET0465,Bird,Parakeet,54,Orange,Small,7.55,0,0,241,150,0,1
PET0466,Dog,Poodle,117,Brown,Medium,12.83,1,0,272,100,0,0
PET0467,Dog,Dachshund,115,Mixed,Medium,9.59,1,0,59,50,1,0
PET0468,Rabbit,Holland Lop,109,Black,Large,8.64,1,0,287,25,0,0
PET0469,Dog,Bulldog,110,Mixed,Medium,25.7,1,1,202,75,1,1
PET0470,Bird,Canary,74,Black,Medium,10.65,1,0,32,0,1,0
PET0471,Dog,Yorkshire Terrier,107,Black,Small,25.46,0,0,162,150,0,0
PET0472,Bird,Cockatiel,98,Brown,Medium,2.81,1,1,255,75,0,1
PET0473,Dog,Beagle,57,Mixed,Medium,6.1,0,0,254,75,0,0
PET0474,Rabbit,Dutch,90,Black,Large,11.34,1,1,9,75,0,1
PET0475,Cat,Abyssinian,41,Orange,Small,24.08,1,0,139,25,0,0
PET0476,Bird,Cockatiel,113,Brown,Small,27.2,1,0,10,100,0,1
PET0477,Dog,German Shepherd,3,Mixed,Small,17.99,1,0,214,100,1,1
PET0478,Cat,Maine Coon,6,Mixed,Medium,18.11,1,0,273,100,0,0
PET0479,Bird,Parakeet,5,Gray,Large,29.12,0,0,324,25,0,0
PET0480,Cat,Scottish Fold,5,Mixed,Small,1.12,1,0,48,75,1,0
PET0481,Cat,Maine Coon,54,Brown,Medium,13.97,0,0,111,75,1,0
PET0482,Cat,Maine Coon,47,Orange,Small,32.84,0,0,153,150,0,0
PET0483,Cat,Ragdoll,87,Mixed,Small,24.33,0,0,123,75,0,0
PET0484,Cat,Maine Coon,49,Gray,Medium,13.82,1,1,357,75,0,0
PET0485,Cat,Maine Coon,9,Brown,Small,36.27,1,0,102,100,1,0
PET0486,Rabbit,Holland Lop,99,Black,Medium,31.02,0,0,241,100,1,0
PET0487,Dog,Chihuahua,20,White,Medium,10.96,1,0,321,75,1,0
PET0488,Dog,Golden Retriever,113,White,Medium,25.99,1,1,191,75,0,0
PET0489,Bird,Finch,61,Black,Small,24.03,0,1,217,75,1,0
PET0490,Rabbit,Holland Lop,106,Mixed,Large,16.35,1,0,51,150,0,0
PET0491,Cat,Persian,35,White,Medium,14.99,1,0,292,75,0,1
PET0492,Cat,Bengal,50,White,Large,14.07,1,0,81,150,0,1
PET0493,Dog,Beagle,82,Black,Small,24.88,1,0,88,75,0,0
PET0494,Dog,Dachshund,62,Mixed,Small,17.98,0,0,194,150,0,0
PET0495,Cat,Ragdoll,17,Mixed,Small,33.36,1,1,104,100,1,0
PET0496,Dog,German Shepherd,88,Black,Small,26.95,1,0,271,75,1,0
PET0497,Cat,Bengal,3,Mixed,Medium,3.26,1,0,96,150,0,1
PET0498,Dog,Labrador,32,Mixed,Large,25.79,0,1,198,25,0,0
PET0499,Bird,Parakeet,99,Brown,Medium,11.21,1,0,1,150,0,1
PET0500,Bird,Canary,102,Brown,Small,23.92,1,0,167,100,0,0
